evaluation,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
llm,1500.0,0.05,0.0005,1.1517397243532046,0.048029818147976626,1.5473860292685544,0.06611662001362449,0.9186028633647899,0.012414754380111297
llm,150.0,0.05,0.0025,1.1522696345594774,0.045015060857571294,1.538234145786422,0.057405290311225037,0.9195581440390695,0.01167065508803195
llm,20000.0,0.05,0.0001,1.1529203388048197,0.025491328167308588,1.6148547288338981,0.1640722823553564,0.9117833959662012,0.014392129273247262
llm,500.0,0.0,0.001,1.1488252645869061,0.06396713672204099,1.5323989596575323,0.09222215446690087,0.9198382610846508,0.015165558635730263
llm,5000.0,1.0,0.001,1.2369431340550292,0.09912117563587496,1.5760367722588047,0.13896895213383167,0.9150311277396792,0.018359958343661397
llm,1000.0,0.05,0.0005,1.135617377149898,0.04226984138714407,1.5382817605546149,0.0632338245289881,0.9196872303176802,0.011079929573552633
llm,3000.0,0.1,0.0003,1.1447554119556504,0.03757552840937806,1.5696776964652246,0.0836981038792336,0.9166093145735017,0.009725030404276393
llm,50000.0,0.05,5e-05,1.146392734859687,0.03538603554575172,1.6052291392074707,0.16217740426449073,0.9128666454776857,0.013851990740081973
llm,25.0,0.05,0.004,1.1589051116537747,0.02837410217491533,1.5609670180856132,0.05679268255142746,0.9173829896006627,0.010332251489942683
llm,300.0,0.2,0.0015,1.142203792944275,0.05560143136468357,1.5159911667820147,0.07614434931183307,0.9216862769975986,0.013244676783833587
llm,3000.0,0.05,0.0005,1.1701409351567935,0.062309716061287886,1.560441441043971,0.0727669300620619,0.9171224931984765,0.013436069641596458
llm,50.0,0.05,0.0005,1.2523497441623257,0.03361682579616285,1.6773771602585428,0.05304108657493648,0.9048247520743313,0.008828344401132402
llm,500.0,1.0,0.0025,1.2319184701393602,0.05584576034017361,1.576137310061084,0.0804218434144882,0.9156639017712822,0.011945937053855944
llm,1000.0,0.5,0.0005,1.1361127290136277,0.04070140942685534,1.5261436799187464,0.06551974518187811,0.9211116123222691,0.009397255133143028
llm,12.0,0.05,0.008,1.2164815551474415,0.0352308109788887,1.6548156089696726,0.07256710618406617,0.9071834557682907,0.011504176510869001
llm,3000.0,0.05,0.0005,1.1701409351567935,0.062309716061287886,1.560441441043971,0.0727669300620619,0.9171224931984765,0.013436069641596458
llm,50.0,0.05,0.0005,1.2523497441623257,0.03361682579616285,1.6773771602585428,0.05304108657493648,0.9048247520743313,0.008828344401132402
